Fecha/Hora,Ventana,Min transcurrido,Apertura,Minimo,Caida %,Prob,Ask UP,Volumen,Liquidez,EV,Accion,Resultado

SESION: 2026-06-05 22:50:44
2026-06-06 06:40:22,2026-06-06 06:30:00,10,"60,993.62","60,953.79",0.07%,63.9%,0.410,"14,491","7,435",+22.9%,COMPRAR UP,
,,,,,,,,,,,,LOSS
2026-06-06 07:53:10,2026-06-06 07:45:00,8,"61,013.12","60,983.22",0.05%,60.6%,0.260,"3,241","6,429",+34.6%,COMPRAR UP,
,,,,,,,,,,,,LOSS
2026-06-06 11:57:35,2026-06-06 11:45:00,12,"60,798.96","60,784.48",0.02%,67.3%,0.412,"12,544","5,978",+26.1%,COMPRAR UP,
,,,,,,,,,,,,LOSS
